session,slide,time
5829674d759f110025262234,question,14-11-2016 09:32
5829674d759f110025262234,question,14-11-2016 09:34
5829674d759f110025262234,question,14-11-2016 09:51
5829674d759f110025262234,question,14-11-2016 10:14
5829674d759f110025262234,question,14-11-2016 10:15
5829674d759f110025262234,question,14-11-2016 10:17
5829674d759f110025262234,question,14-11-2016 10:19
5829674d759f110025262234,question,14-11-2016 10:29
5829674d759f110025262234,question,14-11-2016 10:31
5829674d759f110025262234,question,14-11-2016 10:33
